timestamp,device,kwh,machine_id,process_id
2025-09-26T00:00:00Z,Manufacturing_Line_1,45.2,ML001,PROC_ASSEMBLY_A
2025-09-26T00:15:00Z,Manufacturing_Line_1,47.8,ML001,PROC_ASSEMBLY_A
2025-09-26T00:30:00Z,Manufacturing_Line_1,46.1,ML001,PROC_ASSEMBLY_A
2025-09-26T00:45:00Z,Manufacturing_Line_1,48.5,ML001,PROC_ASSEMBLY_A
2025-09-26T01:00:00Z,Manufacturing_Line_1,44.3,ML001,PROC_ASSEMBLY_A
2025-09-26T01:15:00Z,Manufacturing_Line_1,46.9,ML001,PROC_ASSEMBLY_A
2025-09-26T01:30:00Z,Manufacturing_Line_1,45.7,ML001,PROC_ASSEMBLY_A
2025-09-26T01:45:00Z,Manufacturing_Line_1,47.2,ML001,PROC_ASSEMBLY_A
2025-09-26T02:00:00Z,Manufacturing_Line_1,43.8,ML001,PROC_ASSEMBLY_A
2025-09-26T02:15:00Z,Manufacturing_Line_1,45.6,ML001,PROC_ASSEMBLY_A
2025-09-26T02:30:00Z,Manufacturing_Line_1,46.4,ML001,PROC_ASSEMBLY_A
2025-09-26T02:45:00Z,Manufacturing_Line_1,48.1,ML001,PROC_ASSEMBLY_A
2025-09-26T03:00:00Z,Manufacturing_Line_1,44.9,ML001,PROC_ASSEMBLY_A
2025-09-26T03:15:00Z,Manufacturing_Line_1,46.7,ML001,PROC_ASSEMBLY_A
2025-09-26T03:30:00Z,Manufacturing_Line_1,45.3,ML001,PROC_ASSEMBLY_A
2025-09-26T03:45:00Z,Manufacturing_Line_1,47.6,ML001,PROC_ASSEMBLY_A
2025-09-26T04:00:00Z,Manufacturing_Line_1,44.1,ML001,PROC_ASSEMBLY_A
2025-09-26T04:15:00Z,Manufacturing_Line_1,46.5,ML001,PROC_ASSEMBLY_A
2025-09-26T04:30:00Z,Manufacturing_Line_1,45.8,ML001,PROC_ASSEMBLY_A
2025-09-26T04:45:00Z,Manufacturing_Line_1,47.4,ML001,PROC_ASSEMBLY_A
2025-09-26T05:00:00Z,Manufacturing_Line_1,43.7,ML001,PROC_ASSEMBLY_A
2025-09-26T05:15:00Z,Manufacturing_Line_1,45.9,ML001,PROC_ASSEMBLY_A
2025-09-26T05:30:00Z,Manufacturing_Line_1,46.2,ML001,PROC_ASSEMBLY_A
2025-09-26T05:45:00Z,Manufacturing_Line_1,48.3,ML001,PROC_ASSEMBLY_A
2025-09-26T06:00:00Z,Manufacturing_Line_1,52.1,ML001,PROC_ASSEMBLY_B
2025-09-26T06:15:00Z,Manufacturing_Line_1,54.7,ML001,PROC_ASSEMBLY_B
2025-09-26T06:30:00Z,Manufacturing_Line_1,53.2,ML001,PROC_ASSEMBLY_B
2025-09-26T06:45:00Z,Manufacturing_Line_1,55.8,ML001,PROC_ASSEMBLY_B
2025-09-26T07:00:00Z,Manufacturing_Line_1,51.4,ML001,PROC_ASSEMBLY_B
2025-09-26T07:15:00Z,Manufacturing_Line_1,53.9,ML001,PROC_ASSEMBLY_B
2025-09-26T07:30:00Z,Manufacturing_Line_1,52.6,ML001,PROC_ASSEMBLY_B
2025-09-26T07:45:00Z,Manufacturing_Line_1,54.3,ML001,PROC_ASSEMBLY_B
2025-09-26T08:00:00Z,Manufacturing_Line_1,50.8,ML001,PROC_ASSEMBLY_B
2025-09-26T00:00:00Z,Manufacturing_Line_2,38.4,ML002,PROC_WELDING_A
2025-09-26T00:15:00Z,Manufacturing_Line_2,39.7,ML002,PROC_WELDING_A
2025-09-26T00:30:00Z,Manufacturing_Line_2,37.9,ML002,PROC_WELDING_A
2025-09-26T00:45:00Z,Manufacturing_Line_2,40.2,ML002,PROC_WELDING_A
2025-09-26T01:00:00Z,Manufacturing_Line_2,36.8,ML002,PROC_WELDING_A
2025-09-26T01:15:00Z,Manufacturing_Line_2,38.6,ML002,PROC_WELDING_A
2025-09-26T01:30:00Z,Manufacturing_Line_2,37.3,ML002,PROC_WELDING_A
2025-09-26T01:45:00Z,Manufacturing_Line_2,39.1,ML002,PROC_WELDING_A
2025-09-26T02:00:00Z,Manufacturing_Line_2,35.7,ML002,PROC_WELDING_A
2025-09-26T02:15:00Z,Manufacturing_Line_2,37.8,ML002,PROC_WELDING_A
2025-09-26T02:30:00Z,Manufacturing_Line_2,36.5,ML002,PROC_WELDING_A
2025-09-26T02:45:00Z,Manufacturing_Line_2,38.9,ML002,PROC_WELDING_A
2025-09-26T03:00:00Z,Manufacturing_Line_2,34.6,ML002,PROC_WELDING_A
2025-09-26T03:15:00Z,Manufacturing_Line_2,36.4,ML002,PROC_WELDING_A
2025-09-26T03:30:00Z,Manufacturing_Line_2,35.1,ML002,PROC_WELDING_A
2025-09-26T03:45:00Z,Manufacturing_Line_2,37.5,ML002,PROC_WELDING_A
2025-09-26T04:00:00Z,Manufacturing_Line_2,33.9,ML002,PROC_WELDING_A
2025-09-26T04:15:00Z,Manufacturing_Line_2,35.8,ML002,PROC_WELDING_A
2025-09-26T04:30:00Z,Manufacturing_Line_2,34.2,ML002,PROC_WELDING_A
2025-09-26T04:45:00Z,Manufacturing_Line_2,36.7,ML002,PROC_WELDING_A
2025-09-26T05:00:00Z,Manufacturing_Line_2,32.4,ML002,PROC_WELDING_A
2025-09-26T05:15:00Z,Manufacturing_Line_2,34.9,ML002,PROC_WELDING_A
2025-09-26T05:30:00Z,Manufacturing_Line_2,33.6,ML002,PROC_WELDING_A
2025-09-26T05:45:00Z,Manufacturing_Line_2,35.3,ML002,PROC_WELDING_A
2025-09-26T06:00:00Z,Manufacturing_Line_2,42.8,ML002,PROC_WELDING_B
2025-09-26T06:15:00Z,Manufacturing_Line_2,44.5,ML002,PROC_WELDING_B
2025-09-26T06:30:00Z,Manufacturing_Line_2,43.1,ML002,PROC_WELDING_B
2025-09-26T06:45:00Z,Manufacturing_Line_2,45.7,ML002,PROC_WELDING_B
2025-09-26T07:00:00Z,Manufacturing_Line_2,41.2,ML002,PROC_WELDING_B
2025-09-26T07:15:00Z,Manufacturing_Line_2,43.9,ML002,PROC_WELDING_B
2025-09-26T07:30:00Z,Manufacturing_Line_2,42.4,ML002,PROC_WELDING_B
2025-09-26T07:45:00Z,Manufacturing_Line_2,44.6,ML002,PROC_WELDING_B
2025-09-26T08:00:00Z,Manufacturing_Line_2,40.7,ML002,PROC_WELDING_B
2025-09-26T00:00:00Z,Compressor_System,28.7,CS001,PROC_AIR_SUPPLY
2025-09-26T00:15:00Z,Compressor_System,29.4,CS001,PROC_AIR_SUPPLY
2025-09-26T00:30:00Z,Compressor_System,28.1,CS001,PROC_AIR_SUPPLY
2025-09-26T00:45:00Z,Compressor_System,30.2,CS001,PROC_AIR_SUPPLY
2025-09-26T01:00:00Z,Compressor_System,27.6,CS001,PROC_AIR_SUPPLY
2025-09-26T01:15:00Z,Compressor_System,29.8,CS001,PROC_AIR_SUPPLY
2025-09-26T01:30:00Z,Compressor_System,28.3,CS001,PROC_AIR_SUPPLY
2025-09-26T01:45:00Z,Compressor_System,30.7,CS001,PROC_AIR_SUPPLY
2025-09-26T02:00:00Z,Compressor_System,26.9,CS001,PROC_AIR_SUPPLY
2025-09-26T02:15:00Z,Compressor_System,28.5,CS001,PROC_AIR_SUPPLY
2025-09-26T02:30:00Z,Compressor_System,27.2,CS001,PROC_AIR_SUPPLY
2025-09-26T02:45:00Z,Compressor_System,29.6,CS001,PROC_AIR_SUPPLY
2025-09-26T03:00:00Z,Compressor_System,26.4,CS001,PROC_AIR_SUPPLY
2025-09-26T03:15:00Z,Compressor_System,28.1,CS001,PROC_AIR_SUPPLY
2025-09-26T03:30:00Z,Compressor_System,26.8,CS001,PROC_AIR_SUPPLY
2025-09-26T03:45:00Z,Compressor_System,29.3,CS001,PROC_AIR_SUPPLY
2025-09-26T04:00:00Z,Compressor_System,25.7,CS001,PROC_AIR_SUPPLY
2025-09-26T04:15:00Z,Compressor_System,27.9,CS001,PROC_AIR_SUPPLY
2025-09-26T04:30:00Z,Compressor_System,26.3,CS001,PROC_AIR_SUPPLY
